codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4215505,Cardiovascular,164.0,21.0
4215703,Cardiovascular,608.0,23.0
4215802,Cardiovascular,1798.0,133.0
4215901,Cardiovascular,229.0,9.0
4216008,Cardiovascular,890.0,32.0
4216206,Cardiovascular,126.0,12.0
4216255,Cardiovascular,102.0,13.0
4216305,Cardiovascular,197.0,18.0
4216503,Cardiovascular,816.0,49.0
4216602,Cardiovascular,20490.0,1516.0
4216701,Cardiovascular,138.0,9.0
4216909,Cardiovascular,950.0,30.0
4217105,Cardiovascular,135.0,12.0
4217204,Cardiovascular,2706.0,336.0
4217253,Cardiovascular,158.0,19.0
4217303,Cardiovascular,130.0,8.0
4217501,Cardiovascular,302.0,19.0
4217709,Cardiovascular,908.0,38.0
4217808,Cardiovascular,676.0,28.0
4217907,Cardiovascular,22.0,0.0
4218004,Cardiovascular,163.0,18.0
4218103,Cardiovascular,1132.0,3.0
4218202,Cardiovascular,1371.0,103.0
4218301,Cardiovascular,467.0,35.0
4218400,Cardiovascular,1600.0,23.0
4218608,Cardiovascular,105.0,17.0
4218707,Cardiovascular,11347.0,895.0
4218756,Cardiovascular,194.0,13.0
4218806,Cardiovascular,274.0,9.0
4218905,Cardiovascular,112.0,12.0
4219002,Cardiovascular,255.0,31.0
4219101,Cardiovascular,432.0,2.0
4219200,Cardiovascular,44.0,4.0
4219309,Cardiovascular,1584.0,144.0
4219358,Cardiovascular,32.0,1.0
4219408,Cardiovascular,10.0,1.0
4219507,Cardiovascular,11790.0,785.0
4219606,Cardiovascular,89.0,4.0
4219705,Cardiovascular,431.0,31.0
4200101,Câncer,55.0,13.0
4200200,Câncer,5.0,2.0
4200408,Câncer,8.0,1.0
4200705,Câncer,12.0,3.0
4201000,Câncer,56.0,8.0
4201273,Câncer,5.0,1.0
4201406,Câncer,220.0,70.0
4201505,Câncer,26.0,8.0
4201604,Câncer,42.0,1.0
4202008,Câncer,144.0,45.0
4202305,Câncer,2.0,1.0
4202404,Câncer,14459.0,746.0
4202602,Câncer,68.0,11.0
4202800,Câncer,149.0,30.0
4202909,Câncer,722.0,123.0
